CÓDIGO,DENOMINAÇÃO ATIVIDADE,ATIVIDADE/ USO
46.47-8-02,"Comércio atacadista de livros, jornais e outras publicações",Comércio e serviços
46.49-4-01,Comércio atacadista de equipamentos elétricos de uso pessoal e doméstico,Comércio e serviços
46.49-4-02,Comércio atacadista de aparelhos eletrônicos de uso pessoal e doméstico,Comércio e serviços
46.49-4-03,"Comércio atacadista de bicicletas, triciclos e outros veículos recreativos",Comércio e serviços
46.49-4-04,Comércio atacadista de móveis e artigos de colchoaria,Comércio e serviços
46.49-4-05,Comércio atacadista de artigos de tapeçaria; persianas e cortinas,Comércio e serviços
46.49-4-06,"Comércio atacadista de lustres, luminárias e abajures",Comércio e serviços
46.49-4-07,"Comércio atacadista de filmes, CDs, DVDs, fitas e discos",Comércio e serviços
46.49-4-08,"Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar",Comércio e serviços
46.49-4-09,"Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar, com atividade de fracionamento e acondicionamento associada",Comércio e serviços
46.49-4-10,"Comércio atacadista de jóias, relógios e bijuterias, inclusive pedras preciosas e semipreciosas lapidadas",Comércio e serviços
46.49-4-99,Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente,Comércio e serviços
46.51-6-01,Comércio atacadista de equipamentos de informática,Comércio e serviços
46.51-6-02,Comércio atacadista de suprimentos para informática,Comércio e serviços
46.52-4-00,Comércio atacadista de componentes eletrônicos e equipamentos de telefonia e comunicação,Comércio e serviços
46.61-3-00,"Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças",Comércio e serviços
46.62-1-00,"Comércio atacadista de máquinas, equipamentos para terraplenagem, mineração e construção; partes e peças",Comércio e serviços
46.63-0-00,Comércio atacadista de máquinas e equipamentos para uso industrial; partes e peças,Comércio e serviços
46.64-8-00,"Comércio atacadista de máquinas, aparelhos e equipamentos para uso odonto-médico-hospitalar; partes e peças",Comércio e serviços
46.65-6-00,Comércio atacadista de máquinas e equipamentos para uso comercial; partes e peças,Comércio e serviços
46.69-9-01,Comércio atacadista de bombas e compressores; partes e peças,Comércio e serviços
46.69-9-99,Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente; partes e peças,Comércio e serviços
46.71-1-00,Comércio atacadista de madeira e produtos derivados,Comércio e serviços
46.72-9-00,Comércio atacadista de ferragens e ferramentas,Comércio e serviços
46.73-7-00,Comércio atacadista de material elétrico,Comércio e serviços
46.74-5-00,Comércio atacadista de cimento,Comércio e serviços
46.79-6-01,"Comércio atacadista de tintas, vernizes e similares",Comércio e serviços
46.79-6-02,Comércio atacadista de mármores e granitos,Comércio e serviços
46.79-6-03,"Comércio atacadista de vidros, espelhos e vitrais",Comércio e serviços
46.79-6-04,Comércio atacadista especializado de materiais de construção não especificados anteriormente,Comércio e serviços
46.79-6-99,Comércio atacadista de materiais de construção em geral,Comércio e serviços
46.81-8-01,"Comércio atacadista de álcool carburante, biodiesel, gasolina e demais derivados de petróleo, exceto lubrificantes, não realizado por transportador retalhista (TRR)",Comércio e serviços
46.81-8-02,Comércio atacadista de combustíveis realizado por transportador retalhista (TRR),Postos de combustível
46.81-8-03,"Comércio atacadista de combustíveis de origem vegetal, exceto álcool carburante",Postos de combustível
46.81-8-04,Comércio atacadista de combustíveis de origem mineral em bruto,Postos de combustível
46.81-8-05,Comércio atacadista de lubrificantes,Comércio e serviços
46.82-6-00,Comércio atacadista de gás liquefeito de petróleo (GLP),Comércio e serviços
46.83-4-00,"Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo",Comércio e serviços
46.84-2-01,Comércio atacadista de resinas e elastômeros,Comércio e serviços
46.84-2-02,Comércio atacadista de solventes,Comércio e serviços
46.84-2-99,Comércio atacadista de outros produtos químicos e petroquímicos não especificados anteriormente,Comércio e serviços
46.85-1-00,"Comércio atacadista de produtos siderúrgicos e metalúrgicos, exceto para construção",Comércio e serviços
46.86-9-01,Comércio atacadista de papel e papelão em bruto,Comércio e serviços
46.86-9-02,Comércio atacadista de embalagens,Comércio e serviços
46.87-7-01,Comércio atacadista de resíduos de papel e papelão,Comércio e serviços
46.87-7-02,"Comércio atacadista de resíduos e sucatas não metálicos, exceto de papel e papelão",Comércio e serviços
46.87-7-03,Comércio atacadista de resíduos e sucatas metálicos,Comércio e serviços
46.89-3-01,"Comércio atacadista de produtos da extração mineral, exceto combustíveis",Comércio e serviços
46.89-3-02,Comércio atacadista de fios e fibras beneficiados,Comércio e serviços
46.89-3-99,Comércio atacadista especializado em outros produtos intermediários não especificados anteriormente,Comércio e serviços
46.91-5-00,"Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios",Comércio e serviços
46.92-3-00,"Comércio atacadista de mercadorias em geral, com predominância de insumos agropecuários",Comércio e serviços
46.93-1-00,"Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários",Comércio e serviços
47.11-3-01,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados",Comércio e serviços
47.11-3-02,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados",Comércio e serviços
47.12-1-00,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",Comércio e serviços
47.13-0-02,"Lojas de variedades, exceto lojas de departamentos ou magazines",Comércio e serviços
47.13-0-04,"Lojas de departamentos ou magazines, exceto lojas francas (Duty free)",Comércio e serviços
47.13-0-05,"Lojas francas (Duty Free) de aeroportos, portos e em fronteiras terrestres",Comércio e serviços
47.21-1-02,Padaria e confeitaria com predominância de revenda,Comércio e serviços
47.21-1-03,Comércio varejista de laticínios e frios,Comércio e serviços
47.21-1-04,"Comércio varejista de doces, balas, bombons e semelhantes",Comércio e serviços
47.22-9-01,Comércio varejista de carnes - açougues,Comércio e serviços
47.22-9-02,Peixaria,Comércio e serviços
47.23-7-00,Comércio varejista de bebidas,Comércio e serviços
47.24-5-00,Comércio varejista de hortifrutigranjeiros,Comércio e serviços
47.29-6-01,Tabacaria,"Restaurantes, bares, tabacarias, casas noturnas, casa de jogos e similares"
47.29-6-02,Comércio varejista de mercadorias em lojas de conveniência,Comércio e serviços
47.29-6-99,Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente,Comércio e serviços
47.31-8-00,Comércio varejista de combustíveis para veículos automotores,Postos de combustível
47.32-6-00,Comércio varejista de lubrificantes,Comércio e serviços
47.41-5-00,Comércio varejista de tintas e materiais para pintura,Comércio e serviços
47.42-3-00,Comércio varejista de material elétrico,Comércio e serviços
47.43-1-00,Comércio varejista de vidros,Comércio e serviços
47.44-0-01,Comércio varejista de ferragens e ferramentas,Comércio e serviços
47.44-0-02,Comércio varejista de madeira e artefatos,Comércio e serviços
47.44-0-03,Comércio varejista de materiais hidráulicos,Comércio e serviços
47.44-0-04,"Comércio varejista de cal, areia, pedra britada, tijolos e telhas",Comércio e serviços
47.44-0-05,Comércio varejista de materiais de construção não especificados anteriormente,Comércio e serviços
47.44-0-06,Comércio varejista de pedras para revestimento,Comércio e serviços
47.44-0-99,Comércio varejista de materiais de construção em geral,Comércio e serviços
47.51-2-01,Comércio varejista especializado de equipamentos e suprimentos de informática,Comércio e serviços
47.51-2-02,Recarga de cartuchos para equipamentos de informática,Comércio e serviços
47.52-1-00,Comércio varejista especializado de equipamentos de telefonia e comunicação,Comércio e serviços
47.53-9-00,Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo,Comércio e serviços
47.54-7-01,Comércio varejista de móveis,Comércio e serviços
47.54-7-02,Comércio varejista de artigos de colchoaria,Comércio e serviços
47.54-7-03,Comércio varejista de artigos de iluminação,Comércio e serviços
47.55-5-01,Comércio varejista de tecidos,Comércio e serviços
47.55-5-02,Comercio varejista de artigos de armarinho,Comércio e serviços
47.55-5-03,"Comercio varejista de artigos de cama, mesa e banho",Comércio e serviços
47.56-3-00,Comércio varejista especializado de instrumentos musicais e acessórios,Comércio e serviços
47.57-1-00,"Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicação",Comércio e serviços
47.59-8-01,"Comércio varejista de artigos de tapeçaria, cortinas e persianas",Comércio e serviços
47.59-8-99,Comércio varejista de outros artigos de uso doméstico não especificados anteriormente,Comércio e serviços
47.61-0-01,Comércio varejista de livros,Comércio e serviços
47.61-0-02,Comércio varejista de jornais e revistas,Comércio e serviços
47.61-0-03,Comércio varejista de artigos de papelaria,Comércio e serviços
47.62-8-00,"Comércio varejista de discos, CDs, DVDs e fitas",Comércio e serviços
47.63-6-01,Comércio varejista de brinquedos e artigos recreativos,Comércio e serviços
47.63-6-02,Comércio varejista de artigos esportivos,Comércio e serviços
47.63-6-03,Comércio varejista de bicicletas e triciclos; peças e acessórios,Comércio e serviços
47.63-6-04,"Comércio varejista de artigos de caça, pesca e camping",Comércio e serviços
47.63-6-05,Comércio varejista de embarcações e outros veículos recreativos; peças e acessórios,Comércio e serviços
47.71-7-01,"Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas",Comércio e serviços
47.71-7-02,"Comércio varejista de produtos farmacêuticos, com manipulação de fórmulas",Comércio e serviços
47.71-7-03,Comércio varejista de produtos farmacêuticos homeopáticos,Comércio e serviços
47.71-7-04,Comércio varejista de medicamentos veterinários,Comércio e serviços
47.72-5-00,"Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal",Comércio e serviços
47.73-3-00,Comércio varejista de artigos médicos e ortopédicos,Comércio e serviços
47.74-1-00,Comércio varejista de artigos de óptica,Comércio e serviços
47.81-4-00,Comércio varejista de artigos do vestuário e acessórios,Comércio e serviços
47.82-2-01,Comércio varejista de calçados,Comércio e serviços
47.82-2-02,Comércio varejista de artigos de viagem,Comércio e serviços
47.83-1-01,Comércio varejista de artigos de joalheria,Comércio e serviços
47.83-1-02,Comércio varejista de artigos de relojoaria,Comércio e serviços
47.84-9-00,Comércio varejista de gás liqüefeito de petróleo (GLP),Comércio e serviços
47.85-7-01,Comércio varejista de antiguidades,Comércio e serviços
47.85-7-99,Comércio varejista de outros artigos usados,Comércio e serviços
47.89-0-01,"Comércio varejista de suvenires, bijuterias e artesanatos",Comércio e serviços
47.89-0-02,Comércio varejista de plantas e flores naturais,Comércio e serviços
47.89-0-03,Comércio varejista de objetos de arte,Comércio e serviços
47.89-0-04,Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação,Comércio e serviços
47.89-0-05,Comércio varejista de produtos saneantes domissanitários,Comércio e serviços
47.89-0-06,Comércio varejista de fogos de artifício e artigos pirotécnicos,Comércio e serviços
47.89-0-07,Comércio varejista de equipamentos para escritório,Comércio e serviços
47.89-0-08,Comércio varejista de artigos fotográficos e para filmagem,Comércio e serviços
47.89-0-09,Comércio varejista de armas e munições,Comércio e serviços
47.89-0-99,Comércio varejista de outros produtos não especificados anteriormente,Comércio e serviços
49.11-6-00,Transporte ferroviário de carga,
49.12-4-01,Transporte ferroviário de passageiros intermunicipal e interestadual,
49.12-4-02,Transporte ferroviário de passageiros municipal e em região metropolitana,
49.12-4-03,Transporte metroviário,
49.21-3-01,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",
49.21-3-02,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal em região metropolitana",
49.22-1-01,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, exceto em região metropolitana",
49.22-1-02,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, interestadual",
49.22-1-03,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, internacional",
49.23-0-01,Serviço de táxi,
49.23-0-02,Serviço de transporte de passageiros - locação de automóveis com motorista,
49.24-8-00,Transporte escolar,Comércio e serviços
49.29-9-01,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, municipal",
49.29-9-02,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional",
49.29-9-03,"Organização de excursões em veículos rodoviários próprios, municipal",
49.29-9-04,"Organização de excursões em veículos rodoviários próprios, intermunicipal, interestadual e internacional",
49.29-9-99,Outros transportes rodoviários de passageiros não especificados anteriormente,
49.30-2-01,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal",
49.30-2-02,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",
49.30-2-03,Transporte rodoviário de produtos perigosos,"Depósito, armazéns, pátio de veículos, transportadoras e afins"
49.30-2-04,Transporte rodoviário de mudanças,"Depósito, armazéns, pátio de veículos, transportadoras e afins"
49.40-0-00,Transporte dutoviário,
49.50-7-00,"Trens turísticos, teleféricos e similares",
50.11-4-01,Transporte marítimo de cabotagem - Carga,"Depósito, armazéns, pátio de veículos, transportadoras e afins"
50.11-4-02,Transporte marítimo de cabotagem - Passageiros,"Depósito, armazéns, pátio de veículos, transportadoras e afins"
50.12-2-01,Transporte marítimo de longo curso - Carga,"Depósito, armazéns, pátio de veículos, transportadoras e afins"
50.12-2-02,Transporte marítimo de longo curso - Passageiros,"Depósito, armazéns, pátio de veículos, transportadoras e afins"
50.21-1-01,"Transporte por navegação interior de carga, municipal, exceto travessia",
50.21-1-02,"Transporte por navegação interior de carga, intermunicipal, interestadual e internacional, exceto travessia",
50.22-0-01,"Transporte por navegação interior de passageiros em linhas regulares, municipal, exceto travessia",
50.22-0-02,"Transporte por navegação interior de passageiros em linhas regulares, intermunicipal, interestadual e internacional, exceto travessia",
50.30-1-01,Navegação de apoio marítimo,
50.30-1-02,Navegação de apoio portuário,"Portos, terminais portuários e portos secos"
50.30-1-03,Serviço de rebocadores e empurradores,
50.91-2-01,"Transporte por navegação de travessia, municipal",
50.91-2-02,"Transporte por navegação de travessia, intermunicipal, interestadual e internacional",
50.99-8-01,Transporte aquaviário para passeios turísticos,
50.99-8-99,Outros transportes aquaviários não especificados anteriormente,
51.11-1-00,Transporte aéreo de passageiros regular,
51.12-9-01,Serviço de táxi aéreo e locação de aeronaves com tripulação,
51.12-9-99,Outros serviços de transporte aéreo de passageiros não regular,"Depósito, armazéns, pátio de veículos, transportadoras e afins"
51.20-0-00,Transporte aéreo de carga,"Depósito, armazéns, pátio de veículos, transportadoras e afins"
51.30-7-00,Transporte espacial,"Depósito, armazéns, pátio de veículos, transportadoras e afins"
52.11-7-01,Armazéns gerais - emissão de warrant,"Depósito, armazéns, pátio de veículos, transportadoras e afins"
52.11-7-02,Guarda-móveis,
52.11-7-99,"Depósitos de mercadorias para terceiros, exceto armazéns gerais e guarda-móveis",
52.12-5-00,Carga e descarga,
52.21-4-00,"Concessionárias de rodovias, pontes, túneis e serviços relacionados",
52.22-2-00,Terminais rodoviários e ferroviários,"Terminais urbanos, interurbanos de qualquer modal"
52.23-1-00,Estacionamento de veículos,
52.29-0-01,"Serviços de apoio ao transporte por táxi, inclusive centrais de chamada",Comércio e serviços
52.29-0-02,Serviços de reboque de veículos,Comércio e serviços
52.29-0-99,Outras atividades auxiliares dos transportes terrestres não especificadas anteriormente,"Depósito, armazéns, pátio de veículos, transportadoras e afins"
52.31-1-01,Administração da infraestrutura portuária,"Depósito, armazéns, pátio de veículos, transportadoras e afins"
52.31-1-02,Atividades do Operador Portuário,"Portos, terminais portuários e portos secos"
52.31-1-03,Gestão de terminais aquaviários,"Portos, terminais portuários e portos secos"
52.32-0-00,Atividades de agenciamento marítimo,Comércio e serviços
52.39-7-01,Serviços de praticagem,Comércio e serviços
52.39-7-99,Atividades auxiliares dos transportes aquaviários não especificadas anteriormente,
52.40-1-01,Operação dos aeroportos e campos de aterrissagem,
52.40-1-99,"Atividades auxiliares dos transportes aéreos, exceto operação dos aeroportos e campos de aterrissagem",
52.50-8-01,Comissaria de despachos,
52.50-8-02,Atividades de despachantes aduaneiros,
52.50-8-03,"Agenciamento de cargas, exceto para o transporte marítimo",
52.50-8-04,Organização logística do transporte de carga,
52.50-8-05,Operador de transporte multimodal - OTM,
53.10-5-01,Atividades do Correio Nacional,
53.10-5-02,Atividades de franqueadas e permissionárias do Correio Nacional,
53.20-2-01,Serviços de malote não realizados pelo Correio Nacional,Comércio e serviços
53.20-2-02,Serviços de entrega rápida,Comércio e serviços
55.10-8-01,Hotéis,
55.10-8-02,Apart-hotéis,
55.10-8-03,Motéis,
55.90-6-01,"Albergues, exceto assistenciais",
55.90-6-02,Campings,
55.90-6-03,Pensões (alojamento),
55.90-6-99,Outros alojamentos não especificados anteriormente,
56.11-2-01,Restaurantes e similares,"Restaurantes, bares, tabacarias, casas noturnas, casa de jogos e similares"
56.11-2-03,"Lanchonetes, casas de chá, de sucos e similares","Restaurantes, bares, tabacarias, casas noturnas, casa de jogos e similares"
56.11-2-04,"Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento","Restaurantes, bares, tabacarias, casas noturnas, casa de jogos e similares"
56.11-2-05,"Bares e outros estabelecimentos especializados em servir bebidas, com entretenimento","Restaurantes, bares, tabacarias, casas noturnas, casa de jogos e similares"
56.12-1-00,Serviços ambulantes de alimentação,Comércio e serviços
56.20-1-01,Fornecimento de alimentos preparados preponderantemente para empresas,
56.20-1-02,Serviços de alimentação para eventos e recepções - bufê,
56.20-1-03,Cantinas - serviços de alimentação privativos,"Restaurantes, bares, tabacarias, casas noturnas, casa de jogos e similares"
56.20-1-04,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,
58.11-5-00,Edição de livros,
58.12-3-01,Edição de jornais diários,
58.12-3-02,Edição de jornais não diários,
58.13-1-00,Edição de revistas,
58.19-1-00,"Edição de cadastros, listas e outros produtos gráficos",
58.21-2-00,Edição integrada à impressão de livros,
58.22-1-01,Edição integrada à impressão de jornais diários,
58.22-1-02,Edição integrada à impressão de jornais não diários,
58.23-9-00,Edição integrada à impressão de revistas,
58.29-8-00,"Edição integrada à impressão de cadastros, listas e outros produtos gráficos",
59.11-1-01,Estúdios cinematográficos,
59.11-1-02,Produção de filmes para publicidade,
59.11-1-99,"Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente",
59.12-0-01,Serviços de dublagem,
59.12-0-02,Serviços de mixagem sonora em produção audiovisual,
59.12-0-99,"Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente",
59.13-8-00,"Distribuição cinematográfica, de vídeo e de programas de televisão",
59.14-6-00,Atividades de exibição cinematográfica,
59.20-1-00,Atividades de gravação de som e de edição de música,
60.10-1-00,Atividades de rádio,
60.21-7-00,Atividades de televisão aberta,
60.22-5-01,Programadoras,
60.22-5-02,"Atividades relacionadas à televisão por assinatura, exceto programadoras",
61.10-8-01,Serviços de telefonia fixa comutada - STFC,
61.10-8-02,Serviços de redes de transporte de telecomunicações - SRTT,
61.10-8-03,Serviços de comunicação multimídia - SCM,
61.10-8-99,Serviços de telecomunicações por fio não especificados anteriormente,
61.20-5-01,Telefonia móvel celular,
61.20-5-02,Serviço móvel especializado - SME,
61.20-5-99,Serviços de telecomunicações sem fio não especificados anteriormente,
61.30-2-00,Telecomunicações por satélite,
61.41-8-00,Operadoras de televisão por assinatura por cabo,
61.42-6-00,Operadoras de televisão por assinatura por micro-ondas,
61.43-4-00,Operadoras de televisão por assinatura por satélite,
61.90-6-01,Provedores de acesso às redes de comunicações,
61.90-6-02,Provedores de voz sobre protocolo Internet - VOIP,
61.90-6-99,Outras atividades de telecomunicações não especificadas anteriormente,
62.01-5-01,Desenvolvimento de programas de computador sob encomenda,
62.01-5-02,Web desing,
62.02-3-00,Desenvolvimento e licenciamento de programas de computador customizáveis,
62.03-1-00,Desenvolvimento e licenciamento de programas de computador não customizáveis,
62.04-0-00,Consultoria em tecnologia da informação,
62.09-1-00,"Suporte técnico, manutenção e outros serviços em tecnologia da informação",
63.11-9-00,"Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na Internet",
63.19-4-00,"Portais, provedores de conteúdo e outros serviços de informação na Internet",
63.91-7-00,Agências de notícias,
63.99-2-00,Outras atividades de prestação de serviços de informação não especificadas anteriormente,
64.10-7-00,Banco Central,Governamental
64.21-2-00,Bancos comerciais,
64.22-1-00,"Bancos múltiplos, com carteira comercial",
64.23-9-00,Caixas econômicas,
64.24-7-01,Bancos cooperativos,
64.24-7-02,Cooperativas centrais de crédito,
64.24-7-03,Cooperativas de crédito mútuo,
64.24-7-04,Cooperativas de crédito rural,
64.31-0-00,"Bancos múltiplos, sem carteira comercial",
64.32-8-00,Bancos de investimento,
64.33-6-00,Bancos de desenvolvimento,
64.34-4-00,Agências de fomento,
64.35-2-01,Sociedades de crédito imobiliário,
64.35-2-02,Associações de poupança e empréstimo,
64.35-2-03,Companhias hipotecárias,
64.36-1-00,"Sociedades de crédito, financiamento e investimento - financeiras",
64.37-9-00,Sociedades de crédito ao microempreendedor,
64.38-7-01,Bancos de câmbio,
64.38-7-99,Outras instituições de intermediação não monetária não especificadas anteriormente,
64.40-9-00,Arrendamento mercantil,
64.50-6-00,Sociedades de capitalização,
64.61-1-00,Holdings de instituições financeiras,
64.62-0-00,Holdings de instituições não financeiras,
64.63-8-00,"Outras sociedades de participação, exceto holdings",
64.70-1-01,"Fundos de investimento, exceto previdenciários e imobiliários",
64.70-1-02,Fundos de investimento previdenciários,
64.70-1-03,Fundos de investimento imobiliários,
64.91-3-00,Sociedades de fomento mercantil - factoring,
64.92-1-00,Securitização de créditos,
64.93-0-00,Administração de consórcios para aquisição de bens e direitos,
64.99-9-01,Clubes de investimento,
64.99-9-02,Sociedades de investimento,
64.99-9-03,Fundo garantidor de crédito,
64.99-9-04,Caixas de financiamento de corporações,
64.99-9-05,Concessão de crédito pelas OSCIP,
64.99-9-99,Outras atividades de serviços financeiros não especificadas anteriormente,
65.11-1-01,Sociedade seguradora de seguros vida,
65.11-1-02,Planos de auxílio-funeral,
65.12-0-00,Sociedade seguradora de seguros não vida,
65.20-1-00,Sociedade seguradora de seguros-saúde,
65.30-8-00,Resseguros,
65.41-3-00,Previdência complementar fechada,
65.42-1-00,Previdência complementar aberta,
65.50-2-00,Planos de saúde,
66.11-8-01,Bolsa de valores,
66.11-8-02,Bolsa de mercadorias,
66.11-8-03,Bolsa de mercadorias e futuros,
66.11-8-04,Administração de mercados de balcão organizados,
66.12-6-01,Corretoras de títulos e valores mobiliários,
66.12-6-02,Distribuidoras de títulos e valores mobiliários,
66.12-6-03,Corretoras de câmbio,
66.12-6-04,Corretoras de contratos de mercadorias,
66.12-6-05,Agentes de investimentos em aplicações financeiras,
66.13-4-00,Administração de cartões de crédito,
66.19-3-01,Serviços de liquidação e custódia,
66.19-3-02,Correspondentes de instituições financeiras,
66.19-3-03,Representações de bancos estrangeiros,
66.19-3-04,Caixas eletrônicos,
66.19-3-05,Operadoras de cartões de débito,
66.19-3-99,Outras atividades auxiliares dos serviços financeiros não especificadas anteriormente,
66.21-5-01,Peritos e avaliadores de seguros,
66.21-5-02,Auditoria e consultoria atuarial,
66.22-3-00,"Corretores e agentes de seguros, de planos de previdência complementar e de saúde",
66.29-1-00,"Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde não especificadas anteriormente",
66.30-4-00,Atividades de administração de fundos por contrato ou comissão,
68.10-2-01,Compra e venda de imóveis próprios,
68.10-2-02,Aluguel de imóveis próprios,
68.10-2-03,Loteamento de imóveis próprios,Loteamento
68.21-8-01,Corretagem na compra e venda e avaliação de imóveis,
68.21-8-02,Corretagem no aluguel de imóveis,
68.22-6-00,Gestão e administração da propriedade imobiliária,
69.11-7-01,Serviços advocatícios,
69.11-7-02,Atividades auxiliares da justiça,Governamental
69.11-7-03,Agente de propriedade industrial,
69.12-5-00,Cartórios,
69.20-6-01,Atividades de contabilidade,
69.20-6-02,Atividades de consultoria e auditoria contábil e tributária,
70.20-4-00,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica",
71.11-1-00,Serviços de arquitetura,
71.12-0-00,Serviços de engenharia,
71.19-7-01,"Serviços de cartografia, topografia e geodésia",
71.19-7-02,Atividades de estudos geológicos,
71.19-7-03,Serviços de desenho técnico relacionados à arquitetura e engenharia,
71.19-7-04,Serviços de perícia técnica relacionados à segurança do trabalho,
71.19-7-99,Atividades técnicas relacionadas à engenharia e arquitetura não especificadas anteriormente,
71.20-1-00,Testes e análises técnicas,
72.10-0-00,Pesquisa e desenvolvimento experimental em ciências físicas e naturais,
72.20-7-00,Pesquisa e desenvolvimento experimental em ciências sociais e humanas,
73.11-4-00,Agências de publicidade,
73.12-2-00,"Agenciamento de espaços para publicidade, exceto em veículos de comunicação",
73.19-0-01,Criação de estandes para feiras e exposições,
73.19-0-02,Promoção de vendas,
73.19-0-03,Marketing direto,
73.19-0-04,Consultoria em publicidade,
73.19-0-99,Outras atividades de publicidade não especificadas anteriormente,
73.20-3-00,Pesquisas de mercado e de opinião pública,
74.10-2-02,Design de interiores,
74.10-2-03,Desing de produto,
74.10-2-99,Atividades de desing não especificadas anteriormente,
74.20-0-01,"Atividades de produção de fotografias, exceto aérea e submarina",
74.20-0-02,Atividades de produção de fotografias aéreas e submarinas,
74.20-0-03,Laboratórios fotográficos,
74.20-0-04,Filmagem de festas e eventos,
74.20-0-05,Serviços de microfilmagem,
74.90-1-01,"Serviços de tradução, interpretação e similares",
74.90-1-02,Escafandria e mergulho,
74.90-1-03,Serviços de agronomia e de consultoria às atividades agrícolas e pecuárias,
74.90-1-04,"Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários",
74.90-1-05,"Agenciamento de profissionais para atividades esportivas, culturais e artísticas",
74.90-1-99,"Outras atividades profissionais, científicas e técnicas não especificadas anteriormente",
75.00-1-00,Atividades veterinárias,
77.11-0-00,Locação de automóveis sem condutor,
77.19-5-01,"Locação de embarcações sem tripulação, exceto para fins recreativos",
77.19-5-02,Locação de aeronaves sem tripulação,
77.19-5-99,"Locação de outros meios de transporte não especificados anteriormente, sem condutor",
77.21-7-00,Aluguel de equipamentos recreativos e esportivos,
77.22-5-00,"Aluguel de fitas de vídeo, DVDs e similares",
77.23-3-00,"Aluguel de objetos do vestuário, jóias e acessórios",
77.29-2-01,Aluguel de aparelhos de jogos eletrônicos,
77.29-2-02,"Aluguel de móveis, utensílios e aparelhos de uso doméstico e pessoal; instrumentos musicais",
77.29-2-03,Aluguel de material médico,
77.29-2-99,Aluguel de outros objetos pessoais e domésticos não especificados anteriormente,
77.31-4-00,Aluguel de máquinas e equipamentos agrícolas sem operador,
77.32-2-01,"Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes",
77.32-2-02,Aluguel de andaimes,
77.33-1-00,Aluguel de máquinas e equipamentos para escritório,
77.39-0-01,"Aluguel de máquinas e equipamentos para extração de minérios e petróleo, sem operador",
77.39-0-02,"Aluguel de equipamentos científicos, médicos e hospitalares, sem operador",
77.39-0-03,"Aluguel de palcos, coberturas e outras estruturas de uso temporário, exceto andaimes",
77.39-0-99,"Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador",
77.40-3-00,Gestão de ativos intangíveis não financeiros,
78.10-8-00,Seleção e agenciamento de mão de obra,
78.20-5-00,Locação de mão de obra temporária,
78.30-2-00,Fornecimento e gestão de recursos humanos para terceiros,
79.11-2-00,Agências de viagens,
79.12-1-00,Operadores turísticos,
79.90-2-00,Serviços de reservas e outros serviços de turismo não especificados anteriormente,
80.11-1-01,Atividades de vigilância e segurança privada,
80.11-1-02,Serviços de adestramento de cães de guarda,
80.12-9-00,Atividades de transporte de valores,
80.20-0-01,Atividades de monitoramento de sistemas de segurança eletrônico,
80.20-0-02,Outras atividades de serviços de segurança,
80.30-7-00,Atividades de investigação particular,
81.11-7-00,"Serviços combinados para apoio a edifícios, exceto condomínios prediais",
81.12-5-00,Condomínios prediais,
81.21-4-00,Limpeza em prédios e em domicílios,
